date,khan,hani,chosun,donga,joongang
2018/01,28,27,0,63,0
2018/02,30,20,0,60,0
2018/03,16,24,0,57,0
2018/04,23,20,0,49,0
2018/05,30,18,0,35,0
2018/06,13,16,0,42,0
2018/07,14,14,26,45,0
2018/08,13,10,21,30,0
2018/09,18,4,23,32,0
2018/10,33,19,34,49,0
2018/11,39,20,38,52,0
2018/12,30,22,41,38,0
2019/01,44,54,49,78,0
2019/02,30,16,27,46,0
2019/03,35,22,70,66,0
2019/04,14,25,35,75,0
2019/05,27,34,43,68,0
2019/06,18,20,27,50,0
2019/07,36,20,47,53,0
2019/08,32,16,34,45,0
2019/09,27,12,38,65,0
2019/10,30,30,51,77,0
2019/11,30,32,39,52,0
2019/12,39,27,45,45,0
2020/01,40,27,32,68,0
2020/02,23,27,32,35,0
2020/03,17,10,35,42,0
2020/04,22,8,28,35,0
2020/05,24,27,49,45,0
2020/06,35,25,36,54,0
2020/07,33,40,67,96,0
2020/08,36,26,60,69,0
2020/09,30,33,85,80,0
2020/10,50,39,64,93,0
2020/11,37,31,65,87,0
2020/12,44,43,80,99,0
2021/01,51,69,100,146,0
2021/02,58,45,96,120,0
2021/03,47,47,121,132,0
2021/04,60,56,116,145,0
2021/05,80,64,111,121,0
2021/06,55,56,104,110,0
2021/07,80,55,100,109,0
2021/08,60,37,77,107,0
2021/09,60,35,119,112,0
2021/10,60,47,113,132,0
2021/11,90,33,150,150,115
2021/12,70,51,143,112,115
2022/01,100,45,130,136,100
2022/02,60,29,93,91,94
2022/03,60,50,108,120,100
2022/04,70,50,118,118,104
2022/05,80,40,84,124,117
2022/06,50,46,119,113,88
2022/07,80,44,111,136,130
2022/08,100,69,120,133,149
2022/09,167,104,158,197,209
2022/10,100,74,120,169,151
