date,avante_hev_d,ioniq_hev_d,ioniq_phev_d,ioniq_ev_d,sonata_hev_d,sonata_phev_d,sonata_dn8_hev_d,grandeur_hev_d,g80_ev_d,kona_hev_d,kona_ev_d,tuscon_hev_d,santa_hev_d,gv70_ev_d,avante_hev_e,ioniq_hev_e,ioniq_phev_e,ioniq_ev_e,sonata_hev_e,sonata_phev_e,sonata_dn8_hev_e,grandeur_hev_e,g80_ev_e,kona_hev_e,kona_ev_e,tuscon_hev_e,tuscon_phev_e,santa_hev_e,santa_phev_e,gv70_ev_e
2018-01,,207,5,1086,289,1,,1939,,,,,,,,4006,1047,873,716,,,,,,,,,,,
2018-02,,322,11,949,294,4,,1625,,,,,,,,3188,1033,582,469,34,,,,,6,,,,,
2018-03,,201,10,886,304,4,,1945,,,,,,,,5527,944,1151,942,,,,,,4,,,,,
2018-04,,353,14,485,333,1,,1728,,,,,,,,5996,1130,653,886,23,,,,,2,,,,,
2018-05,,259,7,548,347,4,,2521,,,304,,,,,3668,634,913,608,8,,,,,24,,,,,
2018-06,,205,7,534,302,2,,2271,,,1076,,,,,1044,132,1273,847,,,,,,1120,,,,,
2018-07,,158,7,252,338,,,2004,,,1317,,,,,1728,443,1666,435,,,,,,458,,,,,
2018-08,,357,18,113,333,7,,1305,,,648,,,,,3874,605,1544,747,,,,,,308,,,,,
2018-09,,243,15,102,244,5,,1946,,,1382,,,,,3448,580,2137,703,,,,,,763,,,,,
2018-10,,340,18,183,323,10,,2300,,,2473,,,,,7501,776,1535,498,,,,,,2144,,,,,
2018-11,,472,28,187,416,10,,2577,,,2906,,,,,6178,715,1439,837,122,,,,,2502,,,,,
2018-12,,545,18,281,545,6,,2407,,,1087,,,,,6356,780,1630,247,109,,,,,4263,,,,,
2019-01,,113,2,21,265,5,,2450,,,388,,,,,4269,821,1654,488,85,,,,2,2686,,,,,
2019-02,,221,,62,317,,,1837,,,233,,,,,3146,379,570,150,123,,,,,1935,,,,,
2019-03,,303,32,288,260,5,,3061,,,2151,,,,,4164,1157,1279,253,112,,,,,3048,,,,,
2019-04,,314,51,133,172,7,,3186,,,1729,,,,,4621,1172,1041,47,,,,,1,2674,,,,,
2019-05,,288,,135,126,,,2774,,,1871,,,,,3096,1102,907,344,78,,,,,2588,,,,,
2019-06,,464,5,244,70,,,2700,,,1325,,,,,2774,1236,657,152,135,5,,,471,2594,,,,,
2019-07,,469,,236,1,,,2289,,,1528,,,,,4236,1407,1581,455,240,,,,3039,2814,,,,,
2019-08,,289,10,380,,,985,1153,,5,1008,,,,,3259,835,1284,321,136,1,,,2409,2187,,,,,
2019-09,,456,14,154,,,1312,1161,,765,893,,,,,4238,1178,1271,36,7,,,,2872,2490,,,,,
