year,category1,category2,1,2
2016,total,total,16.4,83.6
2016,geog,urban,17.6,82.4
2016,geog,rural,10.9,89.1
2016,gender,male,16.8,83.2
2016,gender,female,14,86
2016,residence,indiv,13.4,86.6
2016,residence,apt,17.3,82.7
2016,residence,other,18.5,81.5
2016,age,tetw,15.2,84.8
2016,age,thirties,15.3,84.7
2016,age,forties,16,84
2016,age,fifties,17.1,82.9
2016,age,sixties,18.1,81.9
2016,age,seventies,15.7,84.3
2016,age,ovegt,13.1,86.9
2016,age,ovsx,17.4,82.6
2016,age,sxsf,17.1,82.9
2016,age,ovsf,17.6,82.4
2016,age,sfsn,19.4,80.6
2016,age,ovsv,15.4,84.6
2016,educ,elem,10.1,89.9
2016,educ,midsc,13.9,86.1
2016,educ,highsc,14.9,85.1
2016,educ,college,19,81
2016,marital,unmarried,15.4,84.6
2016,marital,married,17.2,82.8
2016,marital,dead,10.3,89.7
2016,marital,divorced,12.2,87.8
2016,econ,work,16.5,83.5
2016,econ,nowork,16.1,83.9
2016,indust,agriff,9.5,90.5
2016,indust,mining,14.5,85.5
2016,indust,socap,17.7,82.3
2016,job,profm,19,81
2016,job,clerk,19.1,80.9
2016,job,service,15.6,84.4
2016,job,farmf,9,91
2016,job,funct,15.1,84.9
2016,empstat,employee,17.5,82.5
2016,empstat,employer,14.9,85.1
2016,empstat,selfemp,13.8,86.2
2016,satisf,satisfied,18.5,81.5
2016,satisf,soso,15.3,84.7
2016,satisf,unsatis,12.7,87.3
2016,hhinc,belhund,11.2,88.8
2016,hhinc,hund,16.8,83.2
2016,hhinc,twhund,14.8,85.2
2016,hhinc,thhund,16.4,83.6
2016,hhinc,fohund,16.5,83.5
2016,hhinc,fvhund,20.2,79.8
2016,hhinc,sxhund,18.7,81.3
2016,agend,tetwm,16.1,83.9
2016,agend,tetwf,12.4,87.6
2016,agend,thirtm,14.8,85.2
2016,agend,thirtf,18.3,81.7
2016,agend,fortm,16.6,83.4
2016,agend,fortf,11.3,88.7
2016,agend,fiftm,17.4,82.6
2016,agend,fiftf,15.4,84.6
2016,agend,sixm,18.1,81.9
2016,agend,sixf,11.8,88.2
2016,agend,eldm,18.1,81.9
2016,agend,eldf,13.2,86.8
2018,total,total,15.8,84.2
2018,geog,urban,17.1,82.9
2018,geog,rural,9.6,90.4
2018,gender,male,15.4,84.6
2018,gender,female,18.3,81.7
2018,residence,indiv,13.6,86.4
2018,residence,apt,16.5,83.5
2018,residence,other,17,83
2018,age,tetw,23.9,76.1
2018,age,thirties,15.1,84.9
2018,age,forties,14.6,85.4
2018,age,fifties,16.3,83.7
2018,age,sixties,16.2,83.8
2018,age,seventies,15.8,84.2
2018,age,ovegt,16.3,83.7
2018,age,ovsx,16.1,83.9
2018,age,sxsf,15.2,84.8
2018,age,ovsf,16.8,83.2
2018,age,sfsn,17.7,82.3
2018,age,ovsv,15.9,84.1
2018,educ,elem,11,89
2018,educ,midsc,13.4,86.6
2018,educ,highsc,14.3,85.7
2018,educ,college,17.9,82.1
2018,marital,unmarried,17.7,82.3
2018,marital,married,15.6,84.4
2018,marital,dead,15.1,84.9
2018,marital,divorced,15.7,84.3
2018,econ,work,15.2,84.8
2018,econ,nowork,19.1,80.9
2018,indust,agriff,7.5,92.5
