year,category1,category2,1,2,3,4,5
2014,total,total,0.5,3.5,18.2,48.6,29.3
2014,geog,urban,0.5,3.1,17.4,48.8,30.3
2014,geog,rural,0.7,5.2,21.9,47.7,24.4
2014,gender,male,0.7,3.8,20.1,48.9,26.6
2014,gender,female,0.3,3.2,16.3,48.4,31.8
2014,residence,indiv,0.7,4.9,21.6,49.5,23.4
2014,residence,apt,0.4,2.8,15.8,48,33
2014,residence,other,0.5,3,19.2,49,28.2
2014,age,teen,1.3,5.6,27.5,46.2,19.5
2014,age,twenties,0.6,3.4,20.4,46.7,28.8
2014,age,thirties,0.3,2.3,14.6,45.6,37.3
2014,age,forties,0.3,2.4,15.3,48.5,33.4
2014,age,fifties,0.4,3.2,16.1,51.1,29.2
2014,age,sixties,0.4,4.7,19.5,51.8,23.6
2014,age,elder,0.5,5.3,20.7,51.6,21.9
2014,educ,elem,0.6,5.3,22.9,50.6,20.6
2014,educ,midsc,0.8,5,22.6,49.1,22.5
2014,educ,highsc,0.5,3,18.5,48.3,29.7
2014,educ,college,0.3,2.5,13.9,47.8,35.5
2014,marital,unmarried,0.8,4.2,22.7,47.3,25
2014,marital,married,0.4,2.9,15.4,49,32.3
2014,marital,dead,0.4,5.3,21.2,50.9,22.2
2014,marital,divorced,0.3,3.8,19.2,48.9,27.9
2014,econ,work,0.4,3.2,17.3,49.1,30
2014,econ,nowork,0.7,3.8,19.2,48,28.3
2014,indust,agriff,0.4,6.8,23.2,50.2,19.3
2014,indust,mining,0.4,2.7,17.3,47.2,32.5
2014,indust,socap,0.3,2.8,16.6,49.5,30.7
2014,job,profm,0.5,2.3,14.2,48.8,34.3
2014,job,clerk,0.2,2.8,14.9,47.6,34.4
2014,job,service,0.3,2.6,17.1,48.9,31.1
2014,job,farmf,0.4,6.9,22.8,50.3,19.6
2014,job,funct,0.4,3.4,19.7,50,26.5
2014,empstat,employee,0.4,2.9,17,49,30.8
2014,empstat,employer,0.4,2.4,15.8,50.5,31
2014,empstat,selfemp,0.3,4.1,19.1,48.9,27.6
2014,satisf,satisfied,0.7,3.9,16.8,49,29.5
2014,satisf,soso,0.3,3,20,48.9,27.8
2014,satisf,unsatis,0.4,3.4,16.4,46.6,33.2
2014,hhinc,belhund,0.7,4.9,19.9,51.5,23
2014,hhinc,hund,0.4,3.7,19.8,49.5,26.5
2014,hhinc,twhund,0.5,3.3,18.6,47.1,30.5
2014,hhinc,thhund,0.3,2.9,17.8,48.3,30.6
2014,hhinc,fohund,0.5,3.1,18.2,46.5,31.8
2014,hhinc,fvhund,0.4,2.7,14.4,49.4,33.2
2014,hhinc,sxhund,0.7,3,14.3,48.8,33.2
2014,agend,teenm,2.2,6.1,27.5,45.2,19
2014,agend,teenf,0.4,5,27.4,47.2,20
2014,agend,twentm,1,4.3,24.2,47.2,23.3
2014,agend,twentf,0.2,2.6,16.7,46.3,34.2
2014,agend,thirtm,0.3,3,17.4,46.7,32.7
2014,agend,thirtf,0.3,1.6,11.7,44.5,42
2014,agend,fortm,0.4,2.4,17.8,48.5,30.9
2014,agend,fortf,0.2,2.5,12.8,48.5,36.1
2014,agend,fiftm,0.4,3.4,18.2,51.7,26.3
2014,agend,fiftf,0.4,3,13.9,50.5,32.2
2014,agend,sixm,0.5,4.7,19.5,52.1,23.2
2014,agend,sixf,0.4,4.7,19.6,51.5,23.9
2014,agend,eldm,0.6,5.3,20.5,51.9,21.7
2014,agend,eldf,0.4,5.3,20.9,51.4,22
2014,agedu,twmid,-,8.5,27.7,43,20.8
2014,agedu,twhigh,1,3.6,23.6,45.2,26.6
2014,agedu,twcol,0.2,3,17,48.4,31.4
2014,agedu,thmid,0.6,3.6,28.3,43.3,24.1
2014,agedu,thhigh,0.1,2.7,17.5,45.5,34.2
2014,agedu,thcol,0.3,2,12.7,45.8,39.1
2014,agedu,frtmid,0.5,2.8,20.9,52.2,23.7
2014,agedu,frthigh,0.4,2.2,16.6,48.5,32.3
2014,agedu,frtcol,0.3,2.6,13.2,47.9,36
2014,agedu,fifmid,0.6,4.2,18.2,52.6,24.4
2014,agedu,fifhigh,0.4,3,16.4,50.3,30
2014,agedu,fifcol,0.3,2.3,12.9,50.5,34.1
2014,agedu,sxmid,0.4,5.5,21.4,51.7,21
2014,agedu,sxhigh,0.4,2.9,16,52.6,28.2
2014,agedu,sxcol,0.7,3.3,14.6,51,30.4
2014,agedu,eldmid,0.4,5.9,22.6,51,20.1
2014,agedu,eldhigh,0.6,3.4,16.6,53.3,26.1
2014,agedu,eldcol,0.3,3.8,13.8,53.7,28.4
2016,total,total,0.8,3.7,16.2,44.7,34.6
2016,geog,urban,0.8,3.5,15.6,44.1,36
2016,geog,rural,0.7,4.9,18.8,47.8,27.8
2016,gender,male,0.9,4.2,17.6,44.9,32.4
2016,gender,female,0.6,3.3,14.7,44.6,36.8
2016,residence,indiv,1.1,4.9,18.8,46.4,28.8
2016,residence,apt,0.5,3,14.5,43.7,38.3
2016,residence,other,0.9,3.7,16.8,45.1,33.4
2016,age,teen,1.4,5.5,22.4,44.9,25.9
2016,age,twenties,1,3.4,18.6,41,36
2016,age,thirties,0.5,2.5,12.4,39.7,44.9
2016,age,forties,0.5,3.1,14.5,43.6,38.2
2016,age,fifties,0.7,3.3,15.3,47.3,33.5
2016,age,sixties,0.9,4.9,17,49.9,27.3
2016,age,elder,0.9,5.3,17.7,50,26.1
2016,educ,elem,1.1,5.7,19.7,48.7,24.9
2016,educ,midsc,1.2,4.7,20.1,47.9,26.2
2016,educ,highsc,0.8,3.4,17.1,45,33.7
2016,educ,college,0.5,2.9,12.3,41.7,42.6
2016,marital,unmarried,1.1,4.3,19.1,43.8,31.8
2016,marital,married,0.6,3.2,14.1,44.8,37.3
2016,marital,dead,0.6,5.3,20.3,48.1,25.7
2016,marital,divorced,0.6,4.5,17,45.3,32.7
2016,econ,work,0.6,3.2,15.3,44.6,36.2
2016,econ,nowork,0.9,4.3,17.2,44.8,32.6
2016,indust,agriff,0.8,5,19.9,50.8,23.6
2016,indust,mining,0.6,2.8,16.4,44.9,35.4
2016,indust,socap,0.6,3.2,14.7,44,37.4
2016,job,profm,0.5,2.5,11.6,43.2,42.3
2016,job,clerk,0.4,2.2,14,43.4,40
2016,job,service,0.7,3.5,15.7,44.4,35.7
2016,job,farmf,0.6,4.9,19.7,50.9,23.9
2016,job,funct,0.8,3.9,17.6,45.3,32.4
2016,empstat,employee,0.6,3,15.1,43.9,37.4
2016,empstat,employer,0.6,3.6,13.6,45,37.2
2016,empstat,selfemp,0.7,4.3,17.3,47.1,30.5
2016,satisf,satisfied,1,4.2,14.5,44.7,35.6
2016,satisf,soso,0.5,3.2,18.2,45.5,32.6
2016,satisf,unsatis,1,3.7,14.8,42.4,38.1
2016,hhinc,belhund,1,5.6,18.3,49.1,25.9
2016,hhinc,hund,0.9,4.3,18,46,30.7
2016,hhinc,twhund,0.9,3.1,16.6,43,36.5
