year,category1,category2,1,2,3,4,5
2008,total,total,0.5,7,26.9,52.7,12.8
2008,geog,urban,0.5,7,26.8,52.8,12.9
2008,geog,rural,0.7,7,27.5,52.5,12.3
2008,gender,male,0.6,7.1,27.5,52.2,12.6
2008,gender,female,0.4,6.9,26.3,53.2,13.1
2008,residence,indiv,0.6,7.7,29.9,50.5,11.3
2008,residence,apt,0.5,6.7,24,54.8,14
2008,residence,other,0.6,6.5,29.6,50.9,12.4
2008,age,teen,0.8,7.5,24.8,50.3,16.6
2008,age,teens,-,-,-,-,-
2008,age,twenties,0.5,7.6,26.6,51.5,13.7
2008,age,thirties,0.4,5.3,24.1,55.1,15.1
2008,age,forties,0.5,6,24.2,56.1,13.2
2008,age,fifties,0.4,7.1,28.4,53.3,10.9
2008,age,sixties,0.7,9.4,33.3,47.8,8.8
2008,age,elder,0.7,9.8,34.8,46.5,8.1
2008,educ,elem,0.6,9.3,34.7,47.2,8.1
2008,educ,midsc,0.7,6.8,29.3,51.4,11.8
2008,educ,highsc,0.6,7.1,25.7,53.6,13
2008,educ,college,0.4,5.8,23.2,55.1,15.5
2008,marital,unmarried,0.6,7.4,25.9,51.8,14.3
2008,marital,married,0.5,6.6,26,54,12.9
2008,marital,dead,0.6,9,36.7,46.6,7.1
2008,marital,divorced,0.6,7.7,31.6,48.7,11.3
2008,econ,work,0.5,6.5,26.1,53.9,13
2008,econ,nowork,0.6,7.6,27.8,51.3,12.6
2008,indust,agriff,0.7,8.1,28,51.8,11.4
2008,indust,mining,0.7,6.5,27.1,53.5,12.2
2008,indust,socap,0.4,6.3,25.6,54.3,13.4
2008,job,profm,0.2,6.4,20.6,57.2,15.6
2008,job,clerk,0.4,6,24.8,53.9,15
2008,job,service,0.5,5.9,27,54.6,12
2008,job,farmf,0.9,8.3,27.6,51.7,11.4
2008,job,funct,0.5,6.8,30.4,51.4,10.9
2008,empstat,employee,0.4,6.3,25.7,54.2,13.3
2008,empstat,employer,0.6,6.6,24.2,55,13.6
2008,empstat,selfemp,0.6,7.1,27.4,52.5,12.3
2008,satisf,satisfied,0.7,7.9,23.6,53.7,14.1
2008,satisf,soso,0.4,6.3,29.7,52.1,11.4
2008,satisf,unsatis,0.5,6.9,26.4,52.3,13.8
2008,hhinc,belhund,0.6,8.2,31.7,49.8,9.6
2008,hhinc,hund,0.6,7,29.3,51,12
2008,hhinc,twhund,0.7,6.9,25.8,53.5,13.2
2008,hhinc,thhund,0.3,6.5,25.1,54.2,14
2008,hhinc,fohund,0.5,6.2,23.1,55.7,14.4
2008,hhinc,fvhund,0.6,7.3,22.5,55.2,14.5
2008,hhinc,sxhund,0.2,6,21.5,54.8,17.5
2008,agend,teenm,1.1,7.6,26.5,48.4,16.4
2008,agend,teenf,0.6,7.4,23,52.3,16.8
2008,agend,teensm,-,-,-,-,-
2008,agend,teensf,-,-,-,-,-
2008,agend,twentm,0.8,8.2,28.9,50.4,11.7
2008,agend,twentf,0.3,7.1,24.5,52.5,15.6
2008,agend,thirtm,0.5,5.8,25.9,53.8,14
2008,agend,thirtf,0.3,4.8,22.3,56.4,16.2
2008,agend,fortm,0.6,6,25.1,55.5,12.8
2008,agend,fortf,0.4,5.9,23.3,56.6,13.7
2008,agend,fiftm,0.5,6.6,28.4,53,11.5
2008,agend,fiftf,0.4,7.6,28.4,53.5,10.2
2008,agend,sixm,0.6,9.6,31.1,48.7,10
2008,agend,sixf,0.7,9.2,34.9,47.2,7.9
2008,agend,eldm,0.8,10.2,32.2,47.8,9
2008,agend,eldf,0.7,9.6,36.6,45.6,7.5
2008,agedu,twmid,3.1,12.8,26.4,43.8,13.9
2008,agedu,twhigh,0.5,8.1,27.4,50.8,13.2
2008,agedu,twcol,0.5,6.9,25.7,52.5,14.4
2008,agedu,thmid,0.8,4.7,33.7,48.6,12.3
2008,agedu,thhigh,0.5,5.8,24.2,55.7,13.8
2008,agedu,thcol,0.3,4.9,23.5,54.9,16.3
2008,agedu,frtmid,0.9,7,33.1,50.1,8.9
2008,agedu,frthigh,0.5,6.3,24.3,56.1,12.9
2008,agedu,frtcol,0.3,5.1,20.1,58.8,15.8
2008,agedu,fifmid,0.3,6.7,31.5,52.7,8.8
2008,agedu,fifhigh,0.8,7.9,27.2,52.5,11.7
2008,agedu,fifcol,0.2,6.5,23.3,55.9,14.1
2008,agedu,sxmid,0.6,9.6,35.4,46.9,7.6
2008,agedu,sxhigh,1,9.1,27.9,51.3,10.7
2008,agedu,sxcol,0.9,8.4,24.1,49.9,16.7
2008,agedu,eldmid,0.6,9.9,37,45.3,7.1
2008,agedu,eldhigh,1,9.7,27.3,52.1,9.9
2008,agedu,eldcol,1.6,8.6,22.1,50.4,17.3
2010,total,total,1,8.2,24.4,52.1,14.3
2010,geog,urban,1,8.2,24.6,52,14.2
2010,geog,rural,1,8.4,23.4,52.4,14.8
2010,gender,male,1.2,9,25.9,50.9,13.1
2010,gender,female,0.8,7.5,23,53.3,15.4
2010,residence,indiv,0.9,9.2,26.6,50.6,12.7
2010,residence,apt,1,7.5,22.8,53.6,15.1
2010,residence,other,1,8.4,24.9,50.8,15
2010,age,teen,1.5,10,23.4,46.8,18.2
2010,age,teens,-,-,-,-,-
2010,age,twenties,1.3,8.8,25.3,50.3,14.3
2010,age,thirties,0.9,6.6,21.8,54.2,16.5
2010,age,forties,0.8,7.4,22.2,54.5,15.1
2010,age,fifties,0.8,8.2,25.6,52.9,12.5
2010,age,sixties,1,9.6,28.2,50.3,10.9
2010,age,elder,1,9.7,29,49.9,10.3
2010,educ,elem,0.9,8.7,29.4,49.6,11.4
2010,educ,midsc,1.1,9.3,25.7,50.4,13.7
2010,educ,highsc,1,7.7,24.7,52.1,14.5
2010,educ,college,0.9,8.2,21.1,54.1,15.7
2010,marital,unmarried,1.3,9.5,25.1,49.3,14.9
2010,marital,married,0.8,7.6,23.1,53.9,14.6
2010,marital,dead,0.9,9.5,30.8,49.5,9.4
2010,marital,divorced,1.4,7.1,28.8,48.3,14.3
2010,econ,work,1,8.1,23.2,53.7,14.1
2010,econ,nowork,1,8.3,25.9,50.2,14.6
2010,indust,agriff,0.6,9.1,22.2,53.2,14.9
2010,indust,mining,0.7,8.2,24.7,54.7,11.7
2010,indust,socap,1.1,8,22.9,53.5,14.5
2010,job,profm,1.2,7.3,20.6,56,15
2010,job,clerk,0.9,8.1,21.6,54.3,15.2
2010,job,service,0.9,8,24.7,51.4,15
2010,job,farmf,0.6,9.4,21.9,53.1,15
2010,job,funct,1,8.5,25.2,53.6,11.8
2010,empstat,employee,0.9,8.2,22.9,54,13.9
2010,empstat,employer,1.1,8.2,23.6,53.1,13.9
2010,empstat,selfemp,1.1,8.4,23.3,52.7,14.4
2010,satisf,satisfied,1.3,10.5,22.3,52.1,13.8
2010,satisf,soso,0.7,7.1,26.4,52.8,13.1
2010,satisf,unsatis,1.1,7.5,23.3,50.9,17.2
2010,hhinc,belhund,1.2,8.9,29.4,48,12.5
2010,hhinc,hund,0.7,8.2,25.3,51.7,14.1
2010,hhinc,twhund,1,7.7,24.2,52.2,14.9
2010,hhinc,thhund,1,7.7,23.1,54,14.2
2010,hhinc,fohund,0.9,7.9,20.2,56.4,14.5
2010,hhinc,fvhund,1.5,8.9,22.7,52,14.9
2010,hhinc,sxhund,1,9.4,20.2,52.8,16.7
2010,agend,teenm,1.9,10.9,25.7,45.3,16.3
2010,agend,teenf,1.1,9.1,20.9,48.6,20.3
2010,agend,teensm,-,-,-,-,-
2010,agend,teensf,-,-,-,-,-
2010,agend,twentm,1.5,9.9,28.4,48.2,11.8
2010,agend,twentf,1,7.6,22.3,52.4,16.7
2010,agend,thirtm,1.3,7.8,25.2,51.3,14.4
2010,agend,thirtf,0.5,5.4,18.3,57.2,18.7
2010,agend,fortm,0.9,8.3,24.4,52.8,13.7
2010,agend,fortf,0.8,6.5,19.9,56.3,16.6
2010,agend,fiftm,0.9,8.6,26.3,52.5,11.8
2010,agend,fiftf,0.6,7.8,25,53.4,13.2
2010,agend,sixm,1.2,9.7,25.7,51.8,11.6
2010,agend,sixf,0.8,9.4,30.1,49.3,10.4
2010,agend,eldm,1.1,9.9,25.6,52.3,11.1
2010,agend,eldf,1,9.6,31.4,48.3,9.7
2010,agedu,twmid,-,6.1,37.1,47.5,9.4
2010,agedu,twhigh,1.8,8.8,27.4,47.5,14.5
2010,agedu,twcol,0.8,8.9,22.7,53.4,14.3
2010,agedu,thmid,0.4,4.2,32.3,53.6,9.6
2010,agedu,thhigh,0.8,6.8,23.6,52.4,16.4
2010,agedu,thcol,1,6.5,20.2,55.5,16.8
2010,agedu,frtmid,1.2,7.6,25.4,51.4,14.3
2010,agedu,frthigh,0.7,6.3,22.9,55.2,14.8
2010,agedu,frtcol,0.8,8.7,20.2,54.5,15.8
2010,agedu,fifmid,0.6,8.2,27.4,51.9,11.9
2010,agedu,fifhigh,0.8,7.6,25.5,54.3,11.8
2010,agedu,fifcol,1,9.2,22.3,52.4,15
2010,agedu,sxmid,1,9.6,29.9,49.6,9.9
2010,agedu,sxhigh,0.9,8.5,23.9,53.9,12.8
2010,agedu,sxcol,1.3,11,22.7,49.5,15.6
2010,agedu,eldmid,0.9,10,30.5,49,9.7
2010,agedu,eldhigh,1.3,8.1,25.2,55.4,10
2010,agedu,eldcol,1.7,10.2,21.4,50,16.7
2012,total,total,1.5,9.3,26.8,50.1,12.4
2012,geog,urban,1.4,9,27.1,50.2,12.3
2012,geog,rural,1.9,10.7,25.1,49.4,12.8
2012,gender,male,2,10.5,28.7,47.5,11.4
2012,gender,female,1,8.1,24.9,52.6,13.4
2012,residence,indiv,1.6,10.3,28,49,11
2012,residence,apt,1.3,8.6,25,51.7,13.4
2012,residence,other,1.5,9.6,29.5,47.5,11.9
2012,age,teen,-,-,-,-,-
2012,age,teens,2.8,12,26.2,43.5,15.5
2012,age,twenties,1.9,9.7,27.6,48.4,12.4
2012,age,thirties,1.1,7.3,24.6,52.1,14.9
2012,age,forties,0.9,8.1,25.5,51.8,13.7
2012,age,fifties,1.3,9.3,26.5,51.9,10.9
2012,age,sixties,1.3,10.5,30.1,49.6,8.4
2012,age,elder,1.6,10.9,30.7,48.8,8.1
2012,educ,elem,1.9,11.1,29.5,47.6,9.9
2012,educ,midsc,2,10.1,28.9,47.6,11.4
2012,educ,highsc,1.2,9,27.7,49.5,12.6
2012,educ,college,1.3,8.3,23.5,53,13.9
2012,marital,unmarried,2.2,10.9,27.5,46.1,13.3
2012,marital,married,1.2,8.2,25.5,52.5,12.5
2012,marital,dead,1.3,11.6,31.6,47.5,8
2012,marital,divorced,0.7,9.8,31.9,46.8,10.8
2012,econ,work,1.3,9.1,25.6,51.5,12.5
2012,econ,nowork,1.7,9.5,28.2,48.3,12.3
2012,indust,agriff,2,12,24.7,50.3,11
2012,indust,mining,1.2,8.5,26.2,51.7,12.5
2012,indust,socap,1.2,8.8,25.6,51.6,12.7
2012,job,profm,0.9,8.9,21.9,54,14.2
2012,job,clerk,1,7.2,24.6,54,13.2
2012,job,service,1.4,9.1,26.2,50.1,13.3
2012,job,farmf,2,12,24.2,50.7,11
2012,job,funct,1.5,9.4,28.7,49.5,10.9
2012,empstat,employee,1.2,8.8,25.8,51.3,12.8
2012,empstat,employer,1.9,9.6,25.5,51.8,11.2
2012,empstat,selfemp,1.4,9.7,25.5,51.5,11.9
2012,satisf,satisfied,2,11,25.3,49.5,12.3
2012,satisf,soso,1.1,8.1,28.8,50.5,11.4
2012,satisf,unsatis,1.5,9,24.9,50.1,14.5
2012,hhinc,belhund,1.6,12.3,29.8,46.9,9.3
2012,hhinc,hund,1.4,8.7,29.6,48.8,11.5
2012,hhinc,twhund,1.4,8.8,26.6,50.4,12.9
2012,hhinc,thhund,1.6,9,25.5,50.5,13.4
2012,hhinc,fohund,1.3,8.5,24.6,51.5,14
2012,hhinc,fvhund,1.5,7.5,20.2,55.1,15.7
2012,hhinc,sxhund,1.5,9.3,22.9,53,13.3
2012,agend,teenm,-,-,-,-,-
2012,agend,teenf,-,-,-,-,-
2012,agend,teensm,4.2,13.8,27.7,40,14.3
2012,agend,teensf,1.3,10,24.5,47.4,16.9
2012,agend,twentm,2.7,11.4,31.4,43.8,10.6
2012,agend,twentf,1.2,8,23.8,53,14.1
2012,agend,thirtm,1.5,9.4,27.3,48.7,13.1
