year,category1,category2,1,2,3,4
2010,total,total,25.8,44.1,25.8,4.3
2010,geog,urban,25.7,44,26.2,4.2
2010,geog,rural,26.4,44.8,24,4.7
2010,gender,male,22.7,44.7,27.7,4.9
2010,gender,female,28.9,43.6,23.9,3.6
2010,residence,indiv,24.8,42.2,27.8,5.1
2010,residence,apt,26.2,45.3,24.8,3.8
2010,residence,other,26.7,44.3,24.9,4.1
2010,age,teen,11.8,36.8,42.5,8.9
2010,age,teens,-,-,-,-
2010,age,twenties,16.8,42.1,34.1,6.9
2010,age,thirties,26,46.6,24.1,3.4
2010,age,forties,30.2,47.2,20.2,2.4
2010,age,fifties,30.3,45.9,21,2.8
2010,age,sixties,30.8,41.4,23.5,4.3
2010,age,elder,29.6,40.9,25,4.4
2010,educ,elem,27.8,41,26.3,4.8
2010,educ,midsc,23.3,39.4,31,6.3
2010,educ,highsc,26.2,44.6,25.2,3.9
2010,educ,college,25.6,47.2,23.8,3.5
2010,marital,unmarried,14.7,40.5,37.1,7.6
2010,marital,married,30.5,45.9,20.8,2.8
2010,marital,dead,26.8,40.8,27.5,4.8
2010,marital,divorced,26.1,46.4,23.7,3.8
2010,econ,work,25.7,45.9,24.5,3.9
2010,econ,nowork,26,42,27.3,4.8
2010,indust,agriff,28.1,44,23.2,4.8
2010,indust,mining,24.2,47.4,25.3,3.1
2010,indust,socap,25.8,45.7,24.5,4
2010,job,profm,26.5,46.8,23.2,3.5
2010,job,clerk,22.9,48.1,24.7,4.3
2010,job,service,25.8,45.6,25,3.6
2010,job,farmf,28.6,44,23.1,4.3
2010,job,funct,26,44.5,25.5,4.1
2010,empstat,employee,24.6,46.1,25.3,4
2010,empstat,employer,25.1,48.4,22.8,3.7
2010,empstat,selfemp,28.2,45,22.9,3.9
2010,satisf,satisfied,27.9,43.4,24.9,3.9
2010,satisf,soso,24.8,45.8,25.8,3.6
2010,satisf,unsatis,25.2,41.9,26.9,6.1
2010,hhinc,belhund,27.4,39.9,28,4.7
2010,hhinc,hund,25,44.6,25.9,4.5
2010,hhinc,twhund,25.6,44.8,25.9,3.8
2010,hhinc,thhund,26.4,44.9,24.3,4.4
2010,hhinc,fohund,26.1,46.5,23.9,3.6
2010,hhinc,fvhund,24.8,44.7,25.1,5.4
2010,hhinc,sxhund,25.5,44.6,26.1,3.8
2010,agend,teenm,12.7,36,41.4,9.9
2010,agend,teenf,10.8,37.7,43.7,7.7
2010,agend,teensm,-,-,-,-
2010,agend,teensf,-,-,-,-
2010,agend,twentm,15.6,43,33.5,7.9
2010,agend,twentf,18,41.3,34.7,6
2010,agend,thirtm,21.6,46.1,28.2,4.1
2010,agend,thirtf,30.6,47.1,19.7,2.6
2010,agend,fortm,25.5,48,23.4,3.2
2010,agend,fortf,35,46.4,17,1.6
2010,agend,fiftm,25.4,46.9,24.4,3.3
2010,agend,fiftf,35.2,44.9,17.6,2.3
2010,agend,sixm,29.8,42.6,23.1,4.5
2010,agend,sixf,31.5,40.6,23.8,4.1
2010,agend,eldm,29.8,42.3,23.6,4.2
2010,agend,eldf,29.5,39.9,26,4.6
2010,agedu,twmid,22.2,35.8,27.3,14.7
2010,agedu,twhigh,15.6,40.1,37.1,7.3
2010,agedu,twcol,17.9,44.6,31.3,6.2
2010,agedu,thmid,25.4,39.3,31.3,3.9
2010,agedu,thhigh,26.5,46.6,23.1,3.8
2010,agedu,thcol,25.6,46.9,24.5,3.1
2010,agedu,frtmid,28.2,43.5,24.8,3.5
2010,agedu,frthigh,30.2,46.8,20.7,2.3
2010,agedu,frtcol,30.8,48.8,18.2,2.2
2010,agedu,fifmid,29.4,43.5,23.3,3.8
2010,agedu,fifhigh,32.3,46.6,18.8,2.2
2010,agedu,fifcol,28.4,49.5,20.3,1.8
2010,agedu,sxmid,29.7,40.1,25.5,4.7
2010,agedu,sxhigh,35.6,43.6,17.9,2.9
2010,agedu,sxcol,29.9,48.3,18.1,3.7
2010,agedu,eldmid,28.7,39.8,26.8,4.8
2010,agedu,eldhigh,34.6,44.2,18.5,2.7
2010,agedu,eldcol,30.7,46.8,19,3.5
2012,total,total,11.8,39.1,39.9,9.2
2012,geog,urban,11.9,39.9,40.2,8.1
2012,geog,rural,11.6,35.5,38.6,14.4
2012,gender,male,10.1,37.7,42,10.2
2012,gender,female,13.5,40.4,38,8.1
2012,residence,indiv,10.8,34.6,41.4,13.3
2012,residence,apt,12.6,41.7,38.6,7.1
2012,residence,other,11.5,39.4,41.1,8
2012,age,teen,-,-,-,-
2012,age,teens,8.2,31.6,47.3,12.8
2012,age,twenties,8.5,33.1,46.1,12.2
2012,age,thirties,10.9,40.7,41.4,7
2012,age,forties,12.4,44.6,36.4,6.6
2012,age,fifties,15.4,43,34.7,6.9
2012,age,sixties,13.4,37.1,38,11.6
2012,age,elder,13.2,35.1,38.5,13.2
2012,educ,elem,11.2,33.5,41.1,14.2
2012,educ,midsc,11.4,36.5,41.5,10.5
2012,educ,highsc,12,39.8,39.7,8.5
2012,educ,college,12,42.4,39,6.6
2012,marital,unmarried,8.1,33.1,47.1,11.8
2012,marital,married,13.7,42.5,36.4,7.4
2012,marital,dead,11.2,35.5,39.7,13.7
2012,marital,divorced,12,39.5,40.4,8.1
2012,econ,work,11,39.6,40.5,8.9
2012,econ,nowork,12.8,38.4,39.3,9.5
2012,indust,agriff,10.5,33.9,38.8,16.9
2012,indust,mining,9.8,41.5,39.9,8.8
2012,indust,socap,11.4,40,40.8,7.8
2012,job,profm,12.4,42.1,38.9,6.5
2012,job,clerk,10.4,39.9,43.2,6.6
2012,job,service,11,40.9,40,8
2012,job,farmf,10.5,33.6,38.9,16.9
2012,job,funct,10.7,38.9,40.7,9.7
2012,empstat,employee,10.9,40,41.4,7.8
2012,empstat,employer,11.4,41.4,37.3,9.9
2012,empstat,selfemp,11.4,37.9,39.3,11.4
2012,satisf,satisfied,13.4,40.9,37.2,8.4
2012,satisf,soso,11,39,41.5,8.6
2012,satisf,unsatis,11,36.5,41,11.5
2012,hhinc,belhund,12.7,34.1,40.8,12.4
2012,hhinc,hund,11.1,37.7,41.2,10
2012,hhinc,twhund,11.6,38.7,41,8.7
2012,hhinc,thhund,12,41.3,38.4,8.3
2012,hhinc,fohund,11.2,42.6,39.2,6.9
2012,hhinc,fvhund,12.9,43.3,36,7.8
2012,hhinc,sxhund,12.3,42.3,38,7.4
2012,agend,teenm,-,-,-,-
2012,agend,teenf,-,-,-,-
