year,category1,category2,1,2,3,4
2010,total,total,33.2,40,21.6,5.2
2010,geog,urban,34.6,40.5,20.2,4.7
2010,geog,rural,26.6,37.9,28.2,7.4
2010,gender,male,25.9,38.2,28.6,7.3
2010,gender,female,40.2,41.8,14.9,3.1
2010,residence,indiv,35.8,39.8,19.4,5
2010,residence,apt,30.4,39.2,24.4,5.9
2010,residence,other,36,42.7,18,3.4
2010,age,teen,49.4,40.2,9.5,1
2010,age,teens,-,-,-,-
2010,age,twenties,36.6,41,18.1,4.4
2010,age,thirties,21.7,39.2,31.3,7.8
2010,age,forties,24.1,39.5,29,7.4
2010,age,fifties,31.5,41.8,21.6,5.1
2010,age,sixties,46.9,38.9,11.7,2.5
2010,age,elder,48.8,38.3,10.5,2.3
2010,educ,elem,45.2,39.8,12.2,2.9
2010,educ,midsc,42.5,41,13.9,2.6
2010,educ,highsc,31.7,40.8,22.2,5.3
2010,educ,college,24.9,38.7,29,7.3
2010,marital,unmarried,39.8,40.7,16.3,3.2
2010,marital,married,28.3,40.1,25.3,6.3
2010,marital,dead,49.2,37.4,11,2.4
2010,marital,divorced,37,37.6,20.2,5.3
2010,econ,work,26.2,38.5,28.1,7.2
2010,econ,nowork,41.8,41.9,13.6,2.6
2010,indust,agriff,32.7,37.8,23,6.5
2010,indust,mining,22.3,38.8,31,7.9
2010,indust,socap,26.4,38.4,28,7.2
2010,job,profm,23.7,36.6,30.9,8.7
2010,job,clerk,22.3,38.6,31.3,7.7
2010,job,service,28.4,39.8,25.7,6.1
2010,job,farmf,32.5,37.6,23.2,6.7
2010,job,funct,27.1,39,27.1,6.8
2010,empstat,employee,28,38.7,26.7,6.5
2010,empstat,employer,12.8,35.3,40.3,11.7
2010,empstat,selfemp,23.5,35.8,31.2,9.4
2010,satisf,satisfied,32.5,38.3,23.5,5.7
2010,satisf,soso,31.6,42.2,21.4,4.9
2010,satisf,unsatis,37.2,38,19.9,5
