year,category1,category2,1,2,3,4,5
2010,total,total,9.5,26.5,43.2,17.7,3.1
2010,geog,urban,6.3,24.2,46,19.9,3.6
2010,geog,rural,24,36.5,30.5,8.1,1
2010,gender,male,9.9,26.7,42.8,17.5,3
2010,gender,female,9.1,26.2,43.6,17.9,3.2
2010,residence,indiv,13.7,27.2,40.1,16,2.9
2010,residence,apt,8.2,28.4,43.8,16.9,2.7
2010,residence,other,5.2,19.5,47.3,23.5,4.6
2010,age,teen,5.3,23.1,48.9,18.7,4.1
2010,age,teens,-,-,-,-,-
2010,age,twenties,5.8,23.1,46.8,20.8,3.5
2010,age,thirties,7.2,24.4,44.4,20.2,3.9
2010,age,forties,9.4,28.4,43.1,16.3,2.8
2010,age,fifties,10.4,26.7,43.6,16.6,2.7
2010,age,sixties,16.4,30.7,36.1,14.7,2.2
2010,age,elder,17.3,31.4,36,13.2,2.1
2010,educ,elem,16.4,29.8,37.4,14,2.4
2010,educ,midsc,8.4,25.6,45.9,17.3,2.9
2010,educ,highsc,7.9,25.3,45.4,18.2,3.1
2010,educ,college,8.6,26.6,42.1,19.2,3.5
2010,marital,unmarried,5.9,23.6,47,19.9,3.7
2010,marital,married,10.5,27.4,42.1,17.2,2.9
2010,marital,dead,15.4,31.3,38,13.1,2.2
2010,marital,divorced,7.7,23,44.8,20.4,4
2010,econ,work,10.2,27.3,42,17.4,3.1
2010,econ,nowork,8.6,25.5,44.7,18.1,3.1
2010,indust,agriff,32.5,36.6,22.6,7.1,1.2
2010,indust,mining,6.4,25.2,46.7,19,2.7
2010,indust,socap,8.6,26.7,43,18.2,3.4
2010,job,profm,9.2,27.7,40.4,18.7,4
2010,job,clerk,8,27.1,43.6,18.8,2.5
2010,job,service,7.5,27.1,44.8,17.4,3.2
2010,job,farmf,33.6,36.1,21.9,7.1,1.2
2010,job,funct,8,24.9,45.4,18.5,3.1
2010,empstat,employee,8.1,26.2,43.8,18.6,3.3
2010,empstat,employer,8.5,29,42,17,3.5
2010,empstat,selfemp,15.2,29.3,37.6,15.2,2.7
2010,satisf,satisfied,12.6,29.9,38.2,16.5,2.8
2010,satisf,soso,8,25.6,46.9,17,2.6
2010,satisf,unsatis,8.4,23.7,42.6,20.8,4.5
2010,hhinc,belhund,14,26.4,39.7,17.2,2.7
